Date,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Average Heart Rate (bpm)
7/3/13 7:12,4.01,40:02:00,9:59,6.01,536,151
6/28/13 6:56,6.11,1:02:06,10:10,5.9,822,153
6/24/13 6:45,6.24,1:03:20,10:09,5.91,815,158
6/21/13 6:44,6.08,1:00:48,10:00,6,811,159
6/19/13 7:01,6.19,1:06:13,10:42,5.61,824,150
6/17/13 7:31,5.51,55:32:00,10:05,5.95,746,153
6/14/13 7:07,5.33,50:32:00,9:29,6.33,720,
6/12/13 7:32,5.07,50:57:00,10:03,5.97,695,
6/10/13 8:31,5.01,51:03:00,10:12,5.88,673,
6/8/13 7:34,4.2,41:41:00,9:55,6.05,570,
6/6/13 6:34,4.28,40:03:00,9:21,6.42,580,
6/4/13 6:45,4.19,40:02:00,9:34,6.27,563,
6/2/13 9:35,4.5,41:00:00,9:07,6.59,583,
5/30/13 7:21,4.41,40:00:00,9:04,6.61,606.9587442,
5/28/13 7:13,3.5,31:35:00,9:01,6.65,481.4872955,
5/27/13 9:48,3.6,41:09:00,11:25,5.25,476,
5/26/13 14:44,3.24,30:56:00,9:33,6.29,442,
5/21/13 7:19,6.12,58:09:00,9:31,6.31,831,
5/17/13 7:35,4.42,40:00:00,9:03,6.63,579,
5/15/13 6:19,4.37,40:00:00,9:09,6.55,573,
5/13/13 12:24,6.1,54:47:00,8:59,6.68,821,
5/8/13 10:28,6.03,55:05:00,9:08,6.56,816,
5/6/13 12:23,6.11,55:38:00,9:07,6.59,828,
5/4/13 10:31,6.01,59:41:00,9:56,6.04,814,
5/2/13 7:55,4.43,40:27:00,9:08,6.58,601,
4/29/13 11:43,6.12,55:45:00,9:07,6.58,830,
4/25/13 11:46,6.09,56:45:00,9:20,6.43,827,
4/23/13 11:31,6.11,53:31:00,8:46,6.85,835.2396451,
4/21/13 12:47,6.11,53:43:00,8:48,6.82,830,
4/19/13 10:00,6.11,53:46:00,8:48,6.81,772,
4/16/13 10:25,6.2,55:55:00,9:01,6.65,795.369032,
4/14/13 14:31,5,46:52:00,9:23,6.4,629,
4/12/13 11:25,6.2,57:14:00,9:14,6.5,797.0747208,
4/10/13 12:50,4.5,40:22:00,8:58,6.69,576.7379671,
4/1/13 11:47,6.2,57:52:00,9:20,6.43,797.8951787,
3/30/13 16:59,6.2,56:37:00,9:08,6.57,796.2758539,
3/26/13 16:09,6.2,55:40:00,8:59,6.68,794.7789355,
3/24/13 14:08,6.2,55:32:00,8:57,6.7,794.3495831,
3/20/13 4:07,6.2,57:23:00,9:15,6.48,797.2690398,
3/18/13 10:59,3.56,31:13:00,8:46,6.84,453.9522227,
3/16/13 14:29,6.2,57:37:00,9:18,6.46,797.5713137,
3/14/13 12:39,6.2,55:03:00,8:53,6.76,792.7931807,
3/11/13 14:03,6.2,55:23:00,8:56,6.72,793.8665616,
3/5/13 16:37,6.2,55:32:00,8:57,6.7,794.3495831,
2/26/13 12:19,6.2,54:34:00,8:48,6.82,791.2367782,
2/24/13 16:37,6.2,54:33:00,8:48,6.82,791.1831092,
2/23/13 16:48,1.61,19:58,12:23,4.84,190,
2/23/13 15:48,1.79,19:03,10:40,5.63,222,
2/21/13 15:53,6.2,53:10:00,8:35,7,786.7285781,
2/19/13 12:15,6.2,53:26:00,8:37,6.96,787.5872829,
2/17/13 12:29,8.05,1:11:39,8:54,6.74,1019,
2/14/13 13:10,6.2,52:04:00,8:24,7.14,789.0177158,
2/12/13 15:24,6.2,53:29:00,8:38,6.96,787.74829,
2/10/13 11:57,6.2,53:20:00,8:36,6.97,787.2652686,
2/7/13 11:28,6.2,53:25:00,8:37,6.96,787.5336138,
2/5/13 10:18,6.2,54:02:00,8:43,6.88,789.5193686,
1/31/13 12:02,6.2,55:17:00,8:55,6.73,793.5445473,
1/29/13 10:10,6.2,55:56:00,9:01,6.65,795.390623,
1/27/13 10:13,6.2,56:14:00,9:04,6.62,795.779261,
1/24/13 14:05,6.2,56:20:00,9:05,6.6,795.908807,
1/22/13 12:50,6.2,54:08:00,8:44,6.87,789.8413829,
1/20/13 15:57,5.67,49:27:00,8:43,6.88,711,
1/19/13 16:13,2.51,22:26,8:57,6.71,320,
1/17/13 11:57,6.2,56:38:00,9:08,6.57,796.2974449,
1/15/13 15:18,2.18,20:42,9:30,6.32,277,
1/13/13 13:49,8.01,1:12:04,9:00,6.67,1013,
1/6/13 13:45,6.2,55:33:00,8:58,6.7,794.4032521,
1/4/13 12:53,2.01,18:23,9:10,6.55,257,
1/1/13 13:18,2,19:32,9:46,6.14,258.5082805,
12/31/12 14:00,7.2,1:08:20,9:29,6.32,928.0561408,
12/29/12 17:00,2,19:10,9:35,6.26,258.0332786,
12/27/12 12:06,6.13,56:17:00,9:11,6.53,787.6819424,
12/16/12 13:32,6.16,54:18:00,8:49,6.8,777,
12/14/12 11:50,6.13,55:07:00,8:59,6.67,776,
12/11/12 15:29,3.5,30:03:00,8:35,6.99,442,
12/5/12 12:13,6.13,52:44:00,8:36,6.97,778.3837449,
12/3/12 9:41,6.13,53:45:00,8:46,6.84,780.664753,
11/30/12 12:24,6.13,54:04:00,8:49,6.8,776,
11/28/12 6:34,3,27:54:00,9:18,6.45,385.948777,
11/27/12 6:51,3,26:25:00,8:48,6.81,382.8997962,
11/26/12 7:37,6.08,54:38:00,8:59,6.68,770,
11/22/12 10:08,7.19,1:08:08,9:28,6.33,928,
11/20/12 10:24,6.01,55:53:00,9:18,6.45,761,
11/18/12 16:14,6.11,57:59:00,9:29,6.33,777,
11/14/12 14:35,2.13,21:44,10:13,5.87,271,
11/12/12 14:54,4.25,42:12:00,9:56,6.04,539,
11/7/12 8:26,6.07,54:53:00,9:03,6.63,768,
11/5/12 8:05,6.08,55:53:00,9:12,6.53,770,
11/2/12 8:28,6.15,55:13:00,8:58,6.69,779,
10/31/12 11:05,6.05,59:58:00,9:54,6.06,767,
10/29/12 11:57,6.14,58:31:00,9:32,6.3,773,
10/24/12 12:21,3.11,30:39:00,9:52,6.08,398,
10/19/12 10:50,6.07,56:35:00,9:20,6.43,767,
10/17/12 11:06,6.1,58:52:00,9:40,6.21,772,
10/15/12 10:20,6.11,1:00:13,9:52,6.08,775,
10/9/12 7:33,4,39:00:00,9:45,6.15,516.930197,
10/7/12 8:13,4,39:30:00,9:53,6.08,517.577927,
10/5/12 7:30,3.2,30:00:00,9:22,6.4,411.9896114,
10/2/12 7:05,0.72,9:44,13:29,4.45,94,
9/28/12 7:41,6.25,1:00:41,9:43,6.18,768,
9/25/12 11:08,6.2,1:01:06,9:51,6.09,779,
9/19/12 10:31,3.45,32:17:00,9:22,6.41,433,
9/17/12 8:03,6.15,56:47:00,9:14,6.5,781,
9/11/12 7:14,6.28,55:22:00,8:49,6.81,750,
9/8/12 6:36,10.23,1:31:43,8:58,6.69,1280,
9/6/12 7:44,6.25,56:03:00,8:58,6.69,820,
9/4/12 7:55,6.29,57:06:00,9:05,6.61,824,
8/30/12 8:14,6.44,55:50:00,8:40,6.92,840,
8/28/12 8:43,6.14,57:19:00,9:20,6.42,800,
8/25/12 6:01,12.1,1:54:54,9:30,6.32,1597,
8/23/12 6:59,6.1,54:27:00,8:56,6.72,796,
8/21/12 6:46,6.21,54:07:00,8:43,6.89,803,
8/19/12 6:33,9.87,1:35:23,9:40,6.21,1292,
8/17/12 7:13,6.18,57:28:00,9:18,6.45,805,
8/14/12 6:25,4,43:32:00,10:53,5.51,545,
8/13/12 16:30,4,34:00:00,8:30,7.06,483,
8/10/12 7:24,6.35,55:28:00,8:44,6.87,819,
8/8/12 7:27,6.22,55:44:00,8:58,6.69,815,
8/6/12 7:19,6.42,55:15:00,8:36,6.97,829,
8/3/12 7:06,6.25,55:41:00,8:54,6.74,806,
8/1/12 7:16,6.19,56:03:00,9:03,6.62,812,
7/30/12 7:54,6.12,57:07:00,9:20,6.43,795,
7/27/12 6:41,6.2,56:36:00,9:08,6.57,758,
7/25/12 6:56,6.29,57:04:00,9:05,6.61,825,
7/23/12 9:38,6.14,58:33:00,9:33,6.29,844,
7/19/12 14:32,4.14,45:00:00,10:52,5.52,554,
7/17/12 17:06,1.33,17:14,12:58,4.63,180,
7/14/12 12:12,4.38,42:12:00,9:38,6.22,595,
7/12/12 7:36,6.18,55:21:00,8:57,6.7,856,
7/10/12 9:29,6.08,57:21:00,9:26,6.36,830,
7/8/12 7:06,6.14,56:09:00,9:08,6.56,841,
7/5/12 7:51,6.19,56:18:00,9:06,6.59,851,
7/3/12 8:12,6.11,54:37:00,8:56,6.71,836,
7/1/12 10:20,6.14,56:00:00,9:07,6.58,846,
6/29/12 6:20,3.5,31:40:00,9:03,6.63,428,
6/27/12 16:16,5.76,56:37:00,9:50,6.11,809,
6/25/12 7:36,6.31,56:54:00,9:01,6.65,858,
6/21/12 7:17,6.43,55:08:00,8:34,7,777,
6/19/12 6:58,6.43,54:42:00,8:30,7.06,850,
6/17/12 7:06,6.31,56:40:00,8:59,6.68,770,
6/13/12 7:36,6.31,55:10:00,8:45,6.86,765,
6/11/12 7:40,6.31,57:00:00,9:02,6.64,771,
6/9/12 18:42,6.3,58:00:00,9:12,6.52,771,
6/7/12 6:11,6.31,57:56:00,9:11,6.53,857,
6/5/12 8:10,4.6,42:30:00,9:14,6.49,563,
5/29/12 5:02,6.3,59:01:00,9:23,6.4,840,
5/26/12 6:08,6.4,59:26:00,9:18,6.46,859,
5/23/12 5:46,6.31,57:24:00,9:06,6.59,838,
5/21/12 5:09,6.23,58:47:00,9:26,6.36,824,
5/18/12 10:23,6.3,58:50:00,9:20,6.42,772,
5/16/12 12:14,6.28,59:25:00,9:28,6.34,838,
5/14/12 8:00,6.24,57:22:00,9:12,6.52,826,
5/11/12 9:14,6.19,56:45:00,9:10,6.55,822,
5/8/12 8:16,6.2,56:23:00,9:05,6.6,825,
5/6/12 18:47,6.4,57:04:00,8:55,6.73,780,
5/4/12 10:00,4.7,41:38:00,8:51,6.77,61,
5/1/12 10:02,6.26,55:20:00,8:51,6.79,842,
4/25/12 7:58,6.3,55:11:00,8:46,6.85,764,
4/23/12 8:46,6.27,54:32:00,8:42,6.9,838,
4/20/12 8:56,6.98,1:02:27,8:57,6.71,926,
4/18/12 8:34,7,1:02:04,8:52,6.77,937,
4/13/12 7:00,6.2,56:00:00,9:02,6.64,758,
4/11/12 7:39,6.2,56:00:00,9:02,6.64,758,
4/9/12 5:30,6.18,57:54:00,9:22,6.4,813,
4/7/12 15:17,6.36,59:00:00,9:17,6.46,841,
4/4/12 16:11,5.99,55:56:00,9:20,6.43,791,
4/2/12 16:03,6.32,59:42:00,9:27,6.35,869,
3/30/12 14:12,6.36,58:39:00,9:13,6.51,857,
3/28/12 11:56,6.38,57:43:00,9:03,6.63,862,
3/26/12 12:01,6.46,1:00:16,9:20,6.43,871,
3/19/12 11:08,6.2,57:57:00,9:21,6.42,813,
3/17/12 9:06,4.2,37:20:00,8:53,6.75,511,
3/15/12 6:35,4.1,40:54:00,9:59,6.01,626,
3/12/12 11:48,6.22,56:29:00,9:05,6.6,821,
3/8/12 10:33,6.24,57:57:00,9:18,6.46,839,
3/5/12 7:58,6.44,55:35:00,8:38,6.95,779,
3/2/12 12:44,6.44,58:44:00,9:07,6.58,787,
2/29/12 15:15,6.44,58:09:00,9:02,6.64,786,
2/27/12 15:03,6.49,57:24:00,8:50,6.79,898,
2/25/12 23:22,6.44,56:04:00,8:42,6.89,780,
2/22/12 9:43,6.44,55:43:00,8:39,6.94,779,
2/20/12 15:25,6.5,58:17:00,8:58,6.69,793,
2/15/12 14:57,6.47,59:31:00,9:12,6.52,872,
2/13/12 15:01,6.52,57:11:00,8:46,6.84,914,
2/9/12 11:07,4.02,35:22:00,8:48,6.82,525,
2/7/12 11:27,6.22,55:16:00,8:53,6.75,822,
2/5/12 15:20,6.33,55:46:00,8:49,6.81,819,
2/1/12 13:51,6.23,56:59:00,9:09,6.56,837,
1/30/12 13:50,6.33,56:33:00,8:56,6.71,838,
1/28/12 6:40,8,1:13:48,9:13,6.5,1044,
1/25/12 15:19,6,55:31:00,9:15,6.49,787,
1/23/12 12:27,6.3,55:18:00,8:46,6.84,851,
1/21/12 13:47,6.27,56:24:00,9:00,6.67,828,
1/19/12 12:00,6.19,59:41:00,9:38,6.23,819,
1/17/12 7:35,4,36:00:00,9:00,6.67,532,
1/15/12 9:06,6,55:15:00,9:13,6.51,790,
1/10/12 15:46,6,56:02:00,9:20,6.43,795,
1/6/12 12:57,6.21,57:14:00,9:13,6.5,839,
1/4/12 14:02,6.2,56:28:00,9:07,6.59,818,
1/2/12 14:19,6.13,56:37:00,9:15,6.49,800,
12/31/11 15:37,7,1:05:00,9:17,6.46,867,
12/28/11 14:02,6.09,58:25:00,9:35,6.26,797,
12/26/11 14:51,6.13,59:08:00,9:39,6.21,808,
12/18/11 16:11,6.2,59:22:00,9:35,6.27,815,
12/8/11 23:32,6.2,54:45:00,8:50,6.79,762,
12/6/11 13:13,6.2,56:52:00,9:10,6.54,810,
12/1/11 14:25,6.15,57:02:00,9:17,6.47,799,
11/28/11 13:57,6.17,58:17:00,9:27,6.35,807,
11/24/11 8:29,3.02,32:39:00,10:50,5.54,398,
11/23/11 9:23,6.2,55:53:00,9:01,6.66,820,
11/21/11 7:50,6,53:55:00,8:59,6.68,741,
11/13/11 7:50,13.1,1:59:21,9:07,6.59,1619,
11/10/11 8:19,6.3,54:52:00,8:43,6.89,772,
11/8/11 10:45,3.2,28:29:00,8:54,6.74,422,
11/4/11 10:54,3.11,24:57:00,8:02,7.47,414,
11/2/11 9:41,6.24,54:13:00,8:42,6.9,846,
10/31/11 9:52,6.2,54:33:00,8:48,6.82,774,
10/29/11 8:34,8,1:12:20,9:03,6.63,1106,
10/26/11 8:22,6,54:38:00,9:07,6.59,804,
10/24/11 11:16,6,54:19:00,9:04,6.62,818,
10/22/11 6:18,13.1,1:58:07,9:01,6.65,1645,
10/20/11 10:43,6.2,53:36:00,8:39,6.94,771,
10/17/11 6:30,6.35,54:32:00,8:36,6.98,876,
10/14/11 8:25,6.2,52:45:00,8:30,7.05,769,
10/12/11 8:15,6.2,54:00:00,8:43,6.89,773,
10/10/11 8:55,6,51:02:00,8:30,7.05,815,
10/6/11 8:37,6.01,51:57:00,8:38,6.94,832,
10/4/11 5:53,6.21,54:56:00,8:51,6.78,851,
10/2/11 6:52,10.2,1:35:04,9:19,6.44,1424,
9/30/11 6:21,6.29,56:32:00,8:59,6.67,856,
9/28/11 6:05,6.2,54:09:00,8:44,6.87,838,
9/26/11 6:01,6.2,54:33:00,8:48,6.82,852,
9/24/11 6:36,9.99,1:26:37,8:40,6.92,1381,
9/22/11 6:30,6,53:45:00,8:58,6.69,810,
9/20/11 7:40,6,54:00:00,9:00,6.67,753,
9/17/11 5:54,6,52:57:00,8:49,6.8,818,
9/15/11 6:14,6,52:48:00,8:48,6.82,749,
9/12/11 14:06,6.01,54:04:00,9:00,6.66,832,
9/9/11 5:31,6,53:35:00,8:56,6.72,752,
9/6/11 6:04,6,53:52:00,8:59,6.68,800,
9/4/11 6:20,12,1:48:15,9:01,6.65,1507,
9/2/11 6:40,6.01,53:25:00,8:53,6.75,814,
8/31/11 6:35,6,50:43:00,8:27,7.09,813,
8/29/11 6:52,6,53:34:00,8:56,6.72,808,
8/27/11 6:28,7.01,1:00:12,8:35,6.98,951,
8/25/11 6:07,6,52:50:00,8:49,6.81,807,
8/23/11 6:28,6,53:49:00,8:58,6.69,814,
8/20/11 6:12,11,1:40:33,9:08,6.56,1496,
8/18/11 6:01,6.01,52:42:00,8:47,6.84,815,
8/16/11 6:15,6.01,53:41:00,8:56,6.71,811,
8/14/11 6:21,10,1:32:01,9:12,6.52,1367,
8/12/11 5:59,5.37,50:18:00,9:22,6.41,726,
8/9/11 6:39,6.01,53:52:00,8:58,6.69,818,
8/7/11 7:26,6,55:34:00,9:16,6.48,832,
8/5/11 5:36,6,56:50:00,9:28,6.34,859,
8/2/11 7:01,6.01,53:43:00,8:56,6.71,773,
7/30/11 11:09,6,53:20:00,8:53,6.75,751,
7/28/11 7:09,6,53:48:00,8:58,6.7,828,
7/26/11 6:43,6.01,53:34:00,8:55,6.73,860,
7/20/11 9:52,5.6,53:33:00,9:34,6.28,790,
7/17/11 8:33,5.02,48:13:00,9:36,6.25,708,
7/15/11 8:36,5.03,45:01:00,8:57,6.71,720,
7/12/11 8:25,6.38,1:00:07,9:26,6.36,897,
7/9/11 8:45,5.43,50:04:00,9:14,6.5,782,
7/7/11 6:26,5.01,44:22:00,8:52,6.77,672,
7/5/11 6:51,5.01,45:40:00,9:07,6.58,675,
7/3/11 6:32,10.01,1:30:28,9:02,6.64,1417,
7/1/11 6:48,5.01,44:07:00,8:49,6.81,677,
6/29/11 6:00,7,1:02:58,8:59,6.67,945,
6/27/11 6:15,7,1:04:06,9:09,6.55,958,
6/23/11 6:49,5,43:52:00,8:46,6.84,677,
6/21/11 6:42,5,44:03:00,8:48,6.81,691,
6/19/11 7:20,7,1:06:38,9:31,6.3,970,
6/16/11 7:46,5.54,50:07:00,9:03,6.63,772,
6/14/11 6:30,5,44:11:00,8:50,6.79,679,
6/11/11 19:49,7,1:03:13,9:02,6.64,964,
6/9/11 6:09,5,44:25:00,8:53,6.76,696,
6/7/11 6:09,5.01,45:03:00,8:59,6.67,707,
6/5/11 7:23,7.01,1:03:36,9:04,6.62,1002,
6/3/11 12:21,3.4,30:04:00,8:51,6.78,470,
6/1/11 6:09,10.02,1:30:06,9:00,6.67,1427,
5/30/11 6:04,7.01,1:05:43,9:23,6.4,983,
5/26/11 5:30,5,47:00:00,9:24,6.38,628,
5/24/11 5:26,6.2,57:30:00,9:16,6.47,818,
5/22/11 8:57,7.01,1:06:18,9:28,6.34,976,
5/19/11 8:30,5.32,50:00:00,9:24,6.38,86,
5/17/11 12:28,3.2,30:00:00,9:22,6.4,450,
5/17/11 12:00,3.3,30:00:00,9:05,6.6,300,
5/15/11 6:34,10.02,1:31:15,9:06,6.59,1401,
5/12/11 7:40,4.57,40:02:00,8:46,6.84,638,
5/10/11 6:12,4.35,40:03:00,9:12,6.52,610,
5/8/11 6:05,9,1:24:05,9:21,6.42,1254,
